"startBP","endBP","British Isles MAP","North & Central Europe MAP","Mediterranean Europe MAP"
8000,7500,0,0.652790039,0.777990537
7500,7000,0.204347992,0.723125816,0.660093477
7000,6500,0.517262074,0.710312273,0.67308116
6500,6000,0.514675052,0.664974062,0.792896979
6000,5500,0.86309259,0.62201722,0.788151576
5500,5000,0.875786943,0.6573794,0.834500928
5000,4500,0.924928432,0.712564189,0.775552861
4500,4000,0.92394846,0.769524732,0.825226212
4000,3500,0.928502786,0.756355669,0.951279922
3500,3000,0.894898806,0.941511472,0.93330846
3000,2500,0.978603867,0.941511472,0.93330846
