"startBP","endBP","British Isles MAP","North & Central Europe MAP","Mediterranean Europe MAP"
8000,7750,0,0.217205008,0.359898625
7750,7500,0,0.421042869,0.307698544
7500,7250,0.301412883,0.250777289,0.343243567
7250,7000,0.454213244,0.261783115,0.408712805
7000,6750,0.475810072,0.330952356,0.435034531
6750,6500,0.53857973,0.217068983,0.472208159
6500,6250,0.68830283,0.227779758,0.513944701
6250,6000,0.709790233,0.240736169,0.445127281
6000,5750,0.778388632,0.361514702,0.371227451
5750,5500,0.79577562,0.460635161,0.194109911
5500,5250,0.743895393,0.495892802,0.021385008
5250,5000,0.724106278,0.495936845,0.607429655
5000,4750,0.692471846,0.484711352,0.502361415
4750,4500,0.657838546,0.314178511,0.34614374
4500,4250,0.667649741,0.343491504,0.30780348
4250,4000,0.600890755,0.401285684,0.821093967
4000,3750,0.610862277,0.41967975,0.795657399
3750,3500,0.629967191,0.3554087,0.761777359
3500,3250,0.546263795,0.469328145,0.6260894805
3250,3000,0.459815106,0.405180883,0.6260894805
3000,2750,0.408297152,0.355182692,0.6260894805
2750,2500,0.594575208,0.402906067,0.490401602
