"site","lat","long","dates"
281,56.19,8.74,1
295,55.5096,9.717,1
363,57.5794,10.2365,1
378,55.8044,12.069,1
406,56.2722,10.4695,3
432,55.4528,9.7759,6
452,56.8273,9.0164,1
477,56.6823,9.5537,1
479,55.5475,10.2344,1
561,55.6169,9.3083,2
628,55.5,12.3333,5
629,55.4833,9.15,1
655,55.5093,9.178,1
669,55.2,10.1,2
674,56.1699,10.0279,1
737,56.4415,9.433,1
754,56.4737,8.5172,2
756,53.4136,19.1252,3
792,56.5229,8.3091,2
808,56.5229,8.3091,2
849,56.6581,8.7775,1
923,55.3096,8.7691,1
942,56.3589,8.6334,2
948,57.1852,10.0095,1
950,55.5724,10.368,5
1018,56.5865,8.7386,1
1021,56.404,8.9412,1
1026,57.0067,8.6451,1
1030,55.0681,11.9359,1
1035,57.0067,8.6451,1
1043,57.0067,8.6451,1
1049,57.0067,8.6451,1
1100,56.8749,8.6723,3
1105,56.4633,8.8664,1
1139,56.8578,8.6071,1
1177,56.9637,8.6389,1
1253,56.6931,8.735,1
1410,56.2643,8.7538,1
1416,56.8993,8.4233,1
1431,56.9498,8.6444,1
1449,56.6805,8.5363,1
1451,56.5229,8.3091,1
1453,56.8746,8.5898,1
1470,55.1253,10.2673,2
1482,55.1253,10.2673,2
1483,55.2083,9.9966,2
1486,55.5236,10.1007,1
1488,55.2439,10.044,1
2312,61.9144,7.1473,3
2353,52.1441,16.5354,8
2468,54.4552,25.444,2
2485,52.7871,17.7309,10
2730,53.3667,18.5167,1
2743,54.2616,18.9906,4
2758,52.6746,18.3321,3
2793,52.448,15.552,2
3056,59.17,11.72,1
3471,52.0131,16.5854,1
3730,52.6333,18.85,1
3770,54.0016,24.2888,1
5391,54.6846,9.636,2
5395,54.25,12.9,10
5494,54.6846,9.636,1
5496,56.4193,9.0398,2
5497,55.3527,11.1239,1
5498,56.2611,10.6691,4
5767,57.3308,10.442,1
5789,55.1348,10.9024,2
5805,56.1411,10.7002,1
5807,55.6538,12.6727,1
5815,56.0863,12.3144,3
5829,55.6481,11.5242,2
5832,54.7,9.6,4
5839,56.1784,8.5741,2
5851,55.0084,9.8506,3
5853,55.7544,12.3219,1
5875,56.1784,8.5741,5
5885,56.7513,8.4195,2
5940,56.15,10.7166,1
5949,59.15,18.1333,6
5954,56.1784,8.5741,6
5984,55.8384,11.5292,5
5996,55.611,9.2543,1
6029,55.6273,12.0429,1
6031,55.0775,11.6394,1
6041,55.8366,11.4359,5
6043,55.4394,9.252,2
6057,54.9905,8.6855,1
6074,57.7559,18.462,1
6094,55.2371,8.9559,1
6098,55.4386,9.2355,2
6129,56.0995,8.7023,1
6200,55.1176,15.1137,1
6204,53.4941,11.4919,1
6283,55.1606,14.9857,4
6286,55.3712,9.607,5
6289,55.2439,10.044,2
6291,55.5124,10.4637,4
6320,57.0868,9.4848,7
6322,59.017,17.8864,2
6340,55.2353,9.2227,3
6346,56.9396,9.2864,1
6351,55.8333,10.5833,2
6356,54.8024,12.0836,1
6393,56.1394,9.1793,3
6460,56.0501,12.1094,2
6479,56.1281,8.5078,15
6488,56.1784,8.5741,2
6498,56.1784,8.5741,2
6501,56.1784,8.5741,1
6510,56.1784,8.5741,2
6519,56.1784,8.5741,1
6532,57.0423,9.0211,4
6535,55.5116,9.6446,1
6537,56.7196,8.4699,1
6554,55.8923,10.6387,3
6578,55.348,9.6168,24
6631,56.7533,8.4498,2
6645,55.2543,10.7468,1
6676,54.8934,11.7458,3
6686,56.5172,10.8208,1
6735,55.2991,11.26,2
6737,56.5981,8.2134,10
6742,56.597,8.209,5
6760,56.7625,8.3178,4
6768,59,16.2,3
6791,55.0127,10.3122,1
6847,58.6812,13.1896,1
6903,55.6623,12.1082,1
6931,55.1825,11.6454,2
6958,55.1408,10.7812,1
6979,57.3345,10.3011,5
6996,56.7453,9.9112,1
7008,56.8146,9.6791,2
7019,55.8984,10.599,2
7042,56.5917,9.0308,3
7045,56.5585,9.0382,2
7057,56.8676,9.2065,1
7061,56.8228,9.0362,7
7070,55.7187,12.3305,1
7073,55.6344,12.2633,1
7090,59.1543,17.802,4
7096,57.0816,8.7027,21
7105,55.1655,9.4845,2
7123,56.8233,9.0368,1
7156,56.7698,8.9899,1
7160,57.0827,8.7015,4
7161,57.0861,9.0044,1
7174,55.0806,10.1686,1
7187,57.452,10.2481,1
7189,56.2858,10.2531,3
7205,58.6667,16.1833,4
7217,55.1996,11.2806,2
7226,56.8776,9.2218,2
7229,55.251,9.3034,2
7246,56.8167,8.4127,1
7249,55.6,11.74,1
7262,56.7016,10.1618,3
7274,56.1531,10.1057,4
7293,55.5234,9.4187,1
7308,55.7092,11.2432,1
7347,54.8878,11.3184,1
7349,55.4614,12.9738,3
7357,55.4388,10.4496,1
7364,55.3952,13.5979,14
7368,55.5562,11.1715,1
7404,55.9355,9.3159,1
7412,55.5902,11.5023,1
7425,55.2352,11.3202,1
7444,55.3299,11.1386,1
7445,55.9271,12.5109,1
7466,59.8361,17.6222,1
7472,55.4963,13.2915,5
7476,55.4399,9.2533,2
7477,55.2372,8.9556,1
7478,55.4386,9.2358,2
7492,54.9904,8.6855,1
7499,56.1109,8.7083,1
7502,59.3455,16.5622,1
7507,53.2475,17.0149,3
7540,54.26,10.76,14
7611,56.05,14.2833,4
7621,55.9945,14.0767,9
7650,52.6278,18.0809,2
7672,52.6874,18.244,1
7704,55.9871,14.1131,14
7719,52.6836,18.2665,2
7737,59.8707,17.9257,7
7751,54.7,9.5333,1
7757,53.2984,18.5727,2
7772,52.5104,16.497,13
7786,55.5687,13.0623,2
7834,55.9379,12.1857,1
7867,59.2417,17.8953,7
7868,55.7479,12.9245,3
7978,56.0669,14.3317,3
8002,55.4118,13.2375,5
8061,56.0397,14.2682,3
8223,55.4123,13.1371,2
8273,55.5217,14.2932,1
8290,56.0858,14.3486,2
8936,57.5652,18.6355,3
9065,54.8008,9.3869,1
9139,54.7183,9.6702,2
9245,52.6064,18.9012,2
9406,56.03,14.47,3
9446,56.7418,12.9389,6
9459,55.9514,12.8191,3
9470,55.7372,12.9727,1
9523,55.983,12.95,2
9592,55.8336,13.1004,1
9593,55.7372,12.9727,1
9600,55.983,12.95,2
9611,55.9836,12.7835,7
9612,55.5906,11.9207,4
9645,55.6988,11.9013,2
9958,55.1733,10.2954,1
9974,56.3318,8.3553,1
10172,54.5719,12.338,1
10185,58.3811,27.049,2
10273,56.516,9.8983,1
10392,55.7736,22.4194,1
10398,55.7647,22.4357,1
10401,55.2539,26.0877,2
10402,54.3579,23.3216,1
10405,55.4131,23.662,2
10407,54.3029,23.5056,1
10530,52.7363,14.3848,1
10532,53.1567,14.4368,2
10570,56.1253,12.286,4
10571,56.0464,12.1018,1
10588,56.0059,12.2145,2
10590,56.0421,12.4374,4
10591,56.0089,12.1174,4
10602,56.0045,12.1303,1
10609,56.0118,12.1416,6
10617,56.0984,12.2659,1
10618,55.4811,11.8938,2
10670,55.4049,12.2992,1
10681,55.5997,11.9946,1
10736,55.7342,13.2453,69
10895,57.4167,9.75,1
10976,55.2833,11.8167,3
11000,54.3541,9.5877,2
11031,54.3541,9.5877,2
11044,54.3541,9.5877,1
11116,54.5667,9.0667,1
11230,52.8461,17.8674,1
11257,54.6512,9.5396,1
11267,55.4833,11.5,1
11294,58.5987,16.0969,10
11295,58.85,17.2167,2
11296,55.5664,13.0219,6
11306,55.0983,11.8799,3
11315,61.4923,17.0099,4
11325,58.084,11.9386,1
11330,63.1657,14.5518,1
11333,55.4067,11.6144,3
11338,55.3333,14.1167,1
11379,56.4803,16.3121,11
11381,66.0667,18.15,3
11448,58.25,12.5167,2
11462,59.1833,17.6667,1
11466,57.7997,18.927,1
11467,64.7,16.4,1
11471,59.5167,17.9333,1
11683,53.2667,18.6333,1
11759,70.7315,29.2636,5
11768,67.3024,14.59,1
11770,70.1773,19.9056,1
11774,70.9141,26.6237,1
11816,60.397,5.3253,12
11881,54.15,12.54,3
11919,52.7688,17.4119,11
11922,52.099,15.7863,1
11930,52.0167,21.3167,1
11931,52.099,15.7863,4
11952,59.12,6.09,1
11953,59.1241,5.6633,3
11954,59.2108,11.1267,19
11955,59.7077,7.2475,1
11957,68.4402,16.3144,10
11958,70.0667,28.8833,2
11959,66.1833,12.7,1
11960,63.4167,10.4,2
11974,63.4091,10.1445,2
11996,69.5361,30.1425,1
12000,59.6667,8.05,1
12034,59.4833,5.25,1
12035,58.542,6.553,17
12036,58.9872,5.597,1
12037,61.1642,8.0124,1
12041,61.1599,7.7419,1
12042,61.1607,7.7424,2
12043,61.1599,7.6958,1
12044,68.0922,13.42,2
12048,61.2585,7.8217,3
12056,61.1666,7.7068,2
12057,61.1622,7.7423,9
12097,61.1624,7.7507,2
12103,61.1619,7.7481,1
12104,61.1605,7.7444,2
12126,61.1633,7.7427,2
12127,61.1629,7.7447,1
12128,61.2501,7.8516,1
12137,61.2546,7.8402,2
12139,61.2552,7.8077,2
12140,61.2501,7.8516,2
12141,61.2435,7.8288,1
12142,61.2851,7.9176,8
12164,63.8991,11.3554,2
12165,63.9784,11.4277,5
12185,55.5356,14.3241,9
12186,55.4289,13.7416,1
12187,55.5833,13.2333,1
12188,65,21.08,2
12189,61.7902,17.01,2
12190,61.992,17.3026,6
12191,61.5333,16.95,2
12204,53.6383,10.2005,11
12218,55.9027,12.8271,11
12219,55.8346,13.0187,22
12220,55.8618,12.9083,7
12221,55.8618,12.9083,10
12232,55.8705,12.8779,9
12243,55.8367,13.0219,9
12250,59.1194,5.6748,7
12279,55.5829,13.3248,1
12341,52.0167,21.3167,1
12347,52.55,19.7,4
12354,55.9836,12.7835,2
12360,59.1135,5.8356,3
12365,55.7979,13.0036,3
12372,55.8101,13.0495,1
12374,55.8112,13.0533,6
12375,58.4517,11.3089,1
12376,55.9814,12.7539,4
12377,55.9514,12.8191,43
12378,55.9334,12.8333,8
12379,55.9334,12.8333,5
12380,55.8549,12.9115,2
12381,55.8705,12.8779,1
12382,55.9836,12.7835,8
12383,55.9514,12.8191,2
12384,55.9514,12.8191,4
12385,55.9514,12.8191,2
12387,55.9334,12.8333,4
12388,56,12.7668,16
12389,55.7906,13.0848,2
12535,53.149,11.9914,1
12591,55.4721,11.8797,1
12593,55.5885,11.8983,1
12594,55.661,12.285,5
12595,56.2699,10.472,1
12596,55.589,11.9032,3
12597,55.9089,12.2848,1
12598,55.3967,11.1996,1
12599,55.7801,12.1881,2
12600,56.1214,12.3051,2
12601,55.567,13.05,3
12602,59.35,15.117,6
12605,59.5592,10.497,1
12606,55.4522,12.3004,2
12607,55.8014,12.0633,1
12608,56.2236,10.3822,2
12609,56.4311,10.5498,1
12611,55.6245,12.1396,1
12612,55.7575,9.3958,3
12613,56.0288,12.1985,2
12614,55.5938,11.93,1
12615,55.7885,11.2916,2
12616,55.9938,8.8778,3
12617,56.5523,9.4566,1
12619,55.1078,10.9382,1
12620,59.717,15.133,6
12622,55.6964,12.1478,5
12623,56.1469,10.5382,1
12624,55.4332,12.2167,1
12625,55.8043,12.0685,1
12756,52.3167,16.6833,1
12757,52.4753,16.8825,2
12758,52.3333,17.05,2
12759,52.1833,16.35,2
12760,52.1333,16.5167,1
12761,52.2469,16.4319,1
12762,52.3,17.1167,2
13115,53.2824,24.4919,3
13116,53.2667,24.4333,6
13184,53.6375,10.1994,4
13228,53.15,9.3667,2
13229,55.7,11.38,2
13230,56.3,10.78,1
13231,53.15,9.3667,5
13232,52.55,19.7,1
13248,53.6383,10.2005,1
13249,53.6375,10.1994,1
13258,53.7911,10.1374,20
13266,53.5033,10.3817,2
13267,53.71,9.64,2
13274,56.6917,26.7307,4
13279,53.7167,9.65,2
13284,53.15,9.3667,2
13315,55.5849,13.3177,20
13570,53.7756,15.7774,1
