"site","lat","long","dates"
13,50.2707,-3.8629,2
29,53.1258,-9.7681,16
34,52.4735,-8.3569,3
38,52.4753,-8.3638,17
43,53.7867,-6.7567,9
48,57.2406,-7.4492,4
49,57.2406,-7.4492,34
65,56.7273,-3.6596,21
69,51.8468,-3.7072,2
75,60.7282,-1.033,1
83,59.8844,-1.2831,5
89,54.3882,-4.3654,1
91,59.5147,-1.6468,1
97,59.3102,-2.9407,20
101,55.0427,-3.3036,46
115,59.2476,-2.8773,2
139,50.8419,-0.7551,15
140,51.3943,-1.1886,14
148,54.0213,-0.3026,19
181,57.4623,-1.8105,6
214,55.1286,-3.3652,6
220,59.2978,-2.5671,4
239,50.7764,-3.0192,2
280,60.1416,-1.2708,26
308,58.2808,-3.5072,2
313,58.6459,-3.0544,2
325,57.2406,-7.4492,3
386,50.943,-1.4785,1
387,58.6459,-3.0544,2
417,53.1198,-3.6249,2
442,53.1225,-3.6228,3
458,53.1211,-3.6243,3
462,56.9798,-7.4712,2
588,55.4513,-5.1483,8
600,56.3985,-5.4799,5
650,56.3985,-5.4799,2
701,56.3521,-5.5153,1
731,57.9881,-4.4035,10
759,55.0326,-3.6384,18
761,57.1717,-7.4104,98
810,51.5259,-3.466,44
819,55.6342,-3.59,3
824,55.6393,-3.5426,6
882,55.75,-2.5,1
886,55.75,-2.5,1
926,55.521,-2.331,1
946,55.1,-3.578,1
954,55.75,-2.5,1
958,55.8688,-3.0914,3
960,53.6411,-1.5731,3
1005,56.5492,-3.3435,3
1012,55.9666,-2.9529,16
1015,55.9666,-2.9529,1
1041,51.4122,-3.1848,1
1066,55.6093,-4.2145,2
1081,56.0892,-3.9028,4
1109,56.0894,-3.9046,1
1118,56.0894,-3.9046,2
1119,55.9111,-3.0487,6
1123,57.5086,-4.3623,9
1124,57.4726,-4.0746,5
1125,57.473,-4.0741,10
1131,56.0611,-6.1984,12
1141,56.0611,-6.1984,3
1142,55.7276,-6.4232,1
1162,55.7276,-6.4232,9
1174,56.6416,-3.6542,1
1256,52.2256,1.3725,10
1282,56.5469,-3.346,8
1302,56,-7.4008,1
1351,56.6961,-2.7592,2
1402,56.5249,-2.6973,1
1467,59.0184,-3.2835,20
1475,53.9878,-1.2918,4
1511,53.8836,-1.2609,7
1581,58.2098,-6.9334,5
1621,54.351,-2.5019,4
1647,58.4888,-3.6429,2
1654,55.2427,-3.4088,9
1655,58.1976,-6.7451,23
1656,56.2767,-2.5886,14
1663,57.5097,-4.1135,10
1706,57.4734,-4.0733,8
1712,53.6054,-1.4224,4
