"site","lat","long","dates"
1,44.6018,21.9982,32
2,44.5301,22.0487,66
3,44.5611,22.0242,138
7,47.2811,-1.8761,5
8,47.2668,-1.5619,8
10,47.9484,-0.4067,6
11,47.9706,-0.4176,6
14,47.1824,8.4911,16
16,47.5527,-2.932,16
17,47.3502,-2.3472,1
20,48.9137,16.1665,18
24,47.1158,-2.1615,3
27,48.5199,-0.2533,8
36,48.5343,8.9587,2
37,48.3554,21.2511,3
41,47.1663,-2.1336,7
52,46.47,-1.22,2
60,45.8004,3.5389,4
68,49.3921,5.8104,1
137,34.57,32.99,1
150,48.4252,-1.317,5
151,45.7876,4.8038,24
152,46.5228,6.635,5
153,47.4172,7.1122,4
154,45.6877,5.8946,1
155,48.8775,2.1613,63
157,45.6629,5.892,1
158,49.2631,1.2549,24
163,47.1879,8.485,23
167,45.6475,-0.0756,1
168,45.5491,5.7856,1
169,45.7923,5.8216,1
170,45.7211,5.8808,1
174,45.9029,6.1492,1
177,45.6886,0.0775,1
180,46.232,7.352,13
182,46.2352,7.3583,10
183,46.2725,6.9482,18
184,46.4674,6.3827,2
185,46.25,7.4167,1
186,46.2,7.3,32
187,45.821,3.271,6
188,45.8399,5.0019,1
189,48.3861,3.0118,5
192,46.2328,7.352,34
194,47.3605,8.5313,3
197,47.17,7.669,18
199,46.8375,8.3889,5
202,46.7814,6.6503,38
203,47.4372,7.3258,4
204,46.2328,7.352,3
205,47.4647,7.4868,1
206,47.3975,7.4279,1
207,46.7814,6.6503,20
208,46.7667,6.6333,1
209,47.0101,7.48,10
210,46.5921,9.6065,28
211,46.2545,7.4184,1
212,47.445,7.549,8
216,46.9753,6.879,5
217,47.097,7.157,19
218,47.1852,8.0067,10
219,47.1852,8.0067,4
221,47.1852,8.0067,3
223,47.364,8.548,2
224,46.2328,7.352,5
225,46.8729,9.4114,2
226,46.9753,6.879,1
229,46.7613,6.5274,5
230,46.6856,6.5654,3
231,46.6856,6.5654,1
232,47.75,8.68,4
233,46.23,7.36,7
234,46.74,9.41,3
235,46.914,6.9559,12
236,47.55,7.78,1
237,47.7361,8.7044,12
238,47.4415,7.5921,2
240,47.4963,7.6176,3
241,47.3661,8.5442,19
243,47.45,7.76,1
245,46.4631,6.8434,1
246,46.9667,7.1125,1
247,46.9567,7.1135,1
248,46.2291,7.3633,4
249,46.2,7.3,2
250,46.025,7.4809,1
251,46.2435,7.3271,4
252,46.2961,6.9083,4
254,46.205,7.4067,1
257,47.504,9.428,1
258,47.504,9.428,1
259,47.504,9.428,1
260,47.504,9.428,1
261,47.542,6.645,10
262,47.175,8.446,29
263,47.5167,9.4333,6
264,47.5618,13.6494,5
265,46.9753,6.879,13
266,46.7382,6.8587,4
267,46.78,6.78,1
268,47.185,8.0072,2
269,46.67,6.5,2
270,48.51,9.43,3
271,47.0337,7.1112,2
272,47.1767,8.1317,2
273,49.5,11.73,1
274,48.0767,9.1683,3
276,48.5171,10.051,1
277,48.0301,8.967,5
278,48.96,8.75,2
279,48.96,8.75,5
286,47.4843,18.9977,2
288,48.6263,18.3713,1
289,48.2242,18.3025,1
290,48.8311,17.8389,3
291,48.5184,18.0115,2
292,48.8265,17.8427,3
293,48.6265,18.3716,1
298,48.4667,21.7667,4
318,47.9422,4.3612,8
320,47.4102,15.0171,2
336,45.8512,6.1516,3
347,45.8009,5.8435,8
349,44.0847,25.3327,1
351,46.9016,15.3508,4
357,45.7662,4.8028,1
358,46.332,6.3745,1
359,46.9262,21.2525,22
360,50.03,2.11,4
367,48.5085,17.3022,1
382,45.652,15.3208,3
388,48.1423,17.1001,2
391,46.97,21.0857,10
393,45.8167,8.7333,20
401,46.219,20.3237,15
408,46.0456,14.5029,1
418,46.187,20.4272,8
723,51.3751,11.3084,12
747,46.258,11.2056,1
748,46.258,11.2056,1
753,50.3941,21.0823,1
771,47.6818,40.3254,1
773,44.0043,20.6947,8
774,48.4186,17.6982,1
775,46.8701,21.1871,1
776,47.2124,21.5761,12
778,47.5916,19.99,14
779,42.6333,24.0833,31
781,48.0051,26.8201,3
782,44.3308,28.0274,5
783,47.95,16.75,2
784,44.6523,22.2992,1
785,44.6523,22.2992,30
786,44.6534,22.5541,1
788,42.4745,26.0278,58
790,46.4167,20.3167,1
793,42.43,25.63,11
794,47.4459,39.0667,23
795,48.8775,17.3595,1
796,42.5135,25.9094,72
797,48.3,21.25,1
798,46.0072,23.6692,3
799,46.7833,16.6833,1
800,46.7844,16.6883,3
801,46.4407,16.9872,2
802,47.6475,19.4929,5
803,47.4233,19.076,1
804,46.6994,21.3185,1
805,48.2058,22.0099,1
806,47.6833,20.2167,1
807,44.4626,26.1419,2
809,42.6631,25.2179,2
811,41.7277,25.9548,18
812,48.5667,12.1167,2
