SiteID,SiteName,Country,Latitude,Longitude,PhaseID,Culture,StartBCE,EndBCE,milk,non.milk
ABIN,Abingdon,UK,51.671,-1.288,ABIN01,EN,3600,3000,16,14
ABOR,Abora,Latvia,56.858,26.843,ABOR02,Corded ware,2940,2054,0,8
AGL,Plan d’Agl,Switzerland,46.829,10.199,AGL01,BA/IA,1118,75,2,3
AGLI,Aglionby sand pit,UK,54.9,-2.864,AGLI01,BA,1686,1194,0,1
AGSA,Asagi Pinar,Turkey,41.722,27.226,AGSA01,Neo,5500,5000,7,3
AGSA,Asagi Pinar,Turkey,41.722,27.226,AGSA02,Neo,5500,5000,3,3
AJDO,Ajdovska jama,Slovenia,45.95,15.426,AJDO01,LN,4308,4265,5,7
AKAL,Akali,Estonia,58.408,27.23,AKAL01,Narva,5200,3900,0,31
AKON,Akonge,Denmark,55.408,10.691,AKON01,TRB,4000,3800,9,11
AKTO,Aktopraklik,Turkey,40.174,28.771,AKTO01,LN,5900,5700,0,2
ALBA,Al-Basatîn,Jordan,32.516,35.644,ALBA01,Neo,4800,3500,0,8
ALE,Ale,Denmark,55.887,9.562,ALE01,Ertebolle,4500,4000,0,2
ALIZ,Alizay,France,49.3,1.2,ALIZ01,EN,5400,5200,2,0
ALKS,Alksnyne 3,Lithuania,55.63,21.13,ALKS01,Corded ware,2500,2400,0,4
ALSO,Alsonyek,Hungary,46.207,18.702,ALSO01,Starcevo,5704,5558,8,5
AMES,Amesbury Archer,UK,51.17,-1.76,AMES01,EBA,2380,2290,1,0
APC,Apc-Berekalja I,Hungary,47.792,19.703,APC01,LBK,5470,4950,6,6
APC,Apc-Berekalja I,Hungary,47.792,19.703,APC02,LBK,5470,4950,0,8
APC,Apc-Berekalja I,Hungary,47.792,19.703,APC03,LBK,5470,4950,2,9
APC,Apc-Berekalja I,Hungary,47.792,19.703,APCX,LBK,5470,4950,1,0
APSA,Apsalos,Greece,40.901,22.053,APSA01,MN,5701,5622,3,16
ARBO,Arbon Bleiche 3,Switzerland,47.503,9.427,ARBO01,LN,3384,3370,6,23
ARIA,Aria Babi,Serbia,44.556,22.009,ARIA01,Starcevo,6300,5500,0,5
ARMA,Armadale,UK,57.065,-5.9,ARMA01,BA,2340,1667,1,0
ASAV,Asaviec 4,Belarus,54.262,27.13,ASAV01,Narva,4500,4000,0,3
ATAP,Portalon,Spain,42.349,-3.519,ATAP01,Neo,5434,3806,1,4
ATAP,Portalon,Spain,42.349,-3.519,ATAP02,Chalcolithic,3240,2823,11,7
ATAP,Portalon,Spain,42.349,-3.519,ATAP03,Chalcolithic,3029,2125,12,3
ATAP,Portalon,Spain,42.349,-3.519,ATAP04,BA,2082,1700,11,3
ATXO,Atxoste,Spain,42.754,-2.477,ATXO3B,Meso/EN,6154,4828,0,1
AUGH,Aughertree Fell,UK,54.733,-3.149,AUGH01,BA,1686,1194,1,2
AUGS,Augsburg-Haunstetten 1,Germany,48.317,10.905,AUGS01,BA,1200,800,1,0
BAA,Baabe 2,Germany,54.36,13.705,BAA01,TRB,3991,3668,2,12
BAA,Baabe 2,Germany,54.36,13.705,BAA02,TRB/Ertebolle,4250,3797,10,19
BAA,Baabe 2,Germany,54.36,13.705,BAA03,TRB/Ertebolle,4253,3786,4,10
BAA,Baabe 2,Germany,54.36,13.705,BAA05,Ertebolle,4375,4086,1,0
BADE,Bademagaci,Turkey,40.303,29.609,BADE01,Neo,7100,6000,4,2
BAIL,Baile Sear,UK,57.524,-7.379,BAIL01,IA,-479,-662,6,5
BAL,Balatonszárszó,Hungary,46.811,17.845,BAL01,LBK,5404,4915,0,10
BAL,Balatonszárszó,Hungary,46.811,17.845,BAL02,LBK,5404,4915,3,9
BAL,Balatonszárszó,Hungary,46.811,17.845,BAL03,LBK,5404,4915,0,22
BALB,Balbirnie,UK,56.215,-3.155,BALB01,NA,2000,1500,2,0
BALF,Balfarg riding school,UK,56.216,-3.154,BALF01,Grooved Ware,3127,2846,3,5
BALH,"Balhungie, Monikie",UK,56.5,-2.791,BALH01,EBA,2030,1880,1,0
BALL,Ballowall,UK,50.122,-5.701,BALL01,EBA,2500,801,1,0
BALLC,Ballynacarriga,UK,52.178,-8.272,BALLC01,Grooved Ware,2674,2414,7,3
BALLG,Ballygalley,UK,54.896,-5.864,BALLG01,EN,3720,3620,14,5
BALLH,Ballynahatty,UK,54.542,-5.951,BALLH01,Grooved Ware,2769,2287,10,0
BALR,Balregan,UK,54.029,-6.434,BALR01,MN,3600,3300,10,2
BARC,Barcin Hoyuk,Turkey,40.303,29.609,BARC01,Neo,6600,6000,45,51
BAUA,Bau Angius-Terralba,Italy,39.7,8.6,BAUA01,MNB,4500,4000,4,1
BEKE,Békésszentandrás-Furugy,Hungary,46.862,20.492,BEKE01,MCA,4000,3600,0,11
BELK,Belkaragai,Kazakhstan,53.2,63.6,BELK01,LN/EBA,3600,3100,0,9
BEN,"Ben Lawers, Perth&Kinross",UK,56.515,-4.165,BEN01,Beaker,2350,2020,1,0
BEST,Bestamak,Kazakhstan,49.2,78.4,BEST01,LN,4600,3600,0,13
BHAR,Bharpa Langlais,UK,57.571,-7.292,BHAR01,Hebridean,3600,2900,1,1
BIAR,Biarešca 4,Belarus,55.195,30.207,BIAR01,Narva,4500,4000,1,3
BILL,Billown,UK,54.092,-4.656,BILL01,Ronaldsway,2900,2300,9,2
BIS,Bischoffsheim,France,48.483,7.483,BIS02B,LBK,5298,5248,1,11
BIS,Bischoffsheim,France,48.483,7.483,BIS02C,LBK,5248,5223,0,7
BIS,Bischoffsheim,France,48.483,7.483,BIS03,LBK,5223,5183,1,10
BIS,Bischoffsheim,France,48.483,7.483,BIS04A1,LBK,5183,5150,2,18
BIS,Bischoffsheim,France,48.483,7.483,BIS04A2,LBK,5150,5138,1,5
BIS,Bischoffsheim,France,48.483,7.483,BIS04B,LBK,5138,5070,0,11
BJOR,Bjornsholm,Denmark,56.839,9.204,BJOR01,TRB,3900,3500,6,4
BJOR,Bjornsholm,Denmark,56.839,9.204,BJOR02,Ertebolle,4500,4000,1,0
BLAC,Black Patch,UK,50.874,-0.438,BLAC01,BA,1738,797,3,4
